흑,백,덤,결과,대국일자,대국명,제한시간,초읽기 횟수,초읽기 시간,대국룰,흑번국가,백번국가
朴廷桓,申眞諝,6.5,B+R,2026-03-17,第27回マキシムコーヒー杯入神最強戦準決勝,3600.0,,,japanese,kr,kr
井山裕太,朴廷桓,6.5,B+R,2026-02-02,第27回農心辛ラーメン杯世界囲碁最強戦第10戦,3600.0,1,60,Japanese,jp,kr
黄雲嵩,朴廷桓,7.5,W+R,2024-10-27,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,ch,kr
朴珉奎,卞相壹,6.5,W+R,2024-03-27,第5期ソパルコサノル最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
卞相壹,陶欣然,7.5,B+R,2024-03-25,第25回中国囲碁甲級リーグ優勝決定戦第2戦,7200.0,5,60,chinese,kr,ch
卞相壹,韓友賑,6.5,B+R,2024-03-23,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,金昇珍,6.5,B+R,2024-03-23,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,党毅飛,7.5,B+R,2024-03-21,第15回春蘭杯世界囲碁選手権2回戦,8700.0,5,60,chinese,kr,ch
卞相壹,連笑,7.5,B+R,2024-03-17,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
卞相壹,李志賢,6.5,B+R,2024-03-15,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,李昌錫,6.5,B+R,2024-03-12,第5期ソパルコサノル最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
安成浚,卞相壹,6.5,W+R,2024-03-11,第25回マキシムコーヒー杯入神最強戦3回戦,600.0,,,japanese,kr,kr
卞相壹,党毅飛,6.5,W+R,2024-03-08,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,ch
卞相壹,朴廷桓,6.5,W+R,2024-10-24,第47期名人戦（韓国）勝者組決勝,3600.0,,,japanese,kr,kr
卞相壹,檀嘯,7.5,W+¼,2024-03-07,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
卞相壹,童夢成,7.5,B+R,2024-03-05,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
申眞諝,卞相壹,6.5,W+R,2024-02-29,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,金庭賢,6.5,W+R,2024-02-27,第5期ソパルコサノル最高棋士決定戦リーグ,3600.0,,,japanese,kr,kr
崔哲瀚,卞相壹,6.5,W+R,2024-02-24,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,朴永訓,6.5,B+R,2024-02-20,第25回マキシムコーヒー杯入神最強戦2回戦,600.0,,,japanese,kr,kr
卞相壹,柁嘉熹,7.5,B+R,2024-02-17,第25回中国囲碁甲級リーグプレーオフ,7200.0,5,60,chinese,kr,ch
申旻埈,卞相壹,6.5,B+R,2024-02-08,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
卞相壹,古霊益,7.5,B+R,2024-02-03,第25回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
卞相壹,朴鍵昊,6.5,W+R,2024-02-01,2023-2024韓国囲碁リーグ,600.0,,,japanese,kr,kr
朴廷桓,偰玹準,7.5,B+R,2024-10-18,第26回中国囲碁甲級リーグ,7200.0,5,60,chinese,kr,ch
