대회명,제한시간,방식,상금,단위,개최국,구분
맥심커피배 입신최강전(マキシムコーヒー杯入神最強戦),600,피셔,70000000,KRW,korea,국내
안동시 백암배 바둑오픈 최강전(安東市白岩杯囲碁オープン最強戦),600,피셔,30000000,KRW,korea,국내
2025 슈퍼컵(SUPER CUP OPEN),600,피셔,20000000,KRW,korea,국내
대통령배 전국바둑대회(大統領杯全国囲碁大会プロ部門),1200,피셔,15000000,KRW,korea,국내
쏘팔코사놀 최고기사결정전(世界最高棋士決定戦),3600,피셔,200000000,KRW,korea,세계
신한은행 기선전(新韓銀行世界棋仙戦),1800,피셔,400000000,KRW,korea,세계
농심신라면배 세계바둑 최강전(農心辛ラーメン杯世界囲碁最強戦),3600,초읽기,500000000,KRW,korea,세계
삼성화재배 월드바둑마스터즈(三星火災杯世界囲碁マスターズ),7200,초읽기,300000000,KRW,korea,세계
국수산맥 국제 바둑대회(全羅南道国手山脈国際囲碁大会世界プロ最強戦),1800,초읽기,100000000,KRW,korea,세계
LG배 조선일보 기왕전(LG杯朝鮮日報棋王戦),10800,초읽기,300000000,KRW,korea,세계
중국갑조리그(中国囲碁甲級リーグ),7200,초읽기,2200000,CNY,china,국내
쏘팔코사놀배 세계최고기사결정전(ソパルコサノル最高棋士決定戦),3600,피셔,70000000,KRW,korea,국내
중국국수전(中国囲棋国手戦),7200,초읽기,120000,CNY,china,국내
중국 서남기왕전(西南棋王戦),7200,초읽기,250000,CNY,china,국내
중국 위기 천원전(中国囲棋天元戦),7200,초읽기,400000,CNY,china,국내
진성 전국 직업 바둑 공개전(城全国職業囲碁公開戦),7200,초읽기,400000,CNY,china,국내
창기배 중국 프로바둑 선수권전(倡棋杯中国プロ囲碁選手権戦),7200,전만법,450000,CNY,china,국내
중국바둑대기사전(湾区杯中国囲碁大棋士戦),7200,초읽기,500000,CNY,china,국내
저장핑후당호십국배 중국 바둑 속기전(浙江平湖・当湖十局杯中国囲碁早碁戦),30,고려시간,200000,CNY,china,국내
중국 위기 기성전(中国囲棋棋聖戦),7200,초읽기,600000,CNY,china,국내
중국 바둑 기왕쟁패전(中国囲碁棋王争覇戦),3600,초읽기,150000,CNY,china,국내
중국위기명인전(中国囲碁名人戦),9600,초읽기,400000,CNY,china,국내
GS칼텍스배 프로기전(GSカルテックス杯プロ棋戦),1800,피셔,70000000,KRW,korea,국내
중국 왕중왕 바둑쟁패전(王中王囲碁争覇戦),7200,초읽기,1000000,CNY,china,국내
전국 지력운동회 남자바둑단체전(全国智力運動会男子団体戦),7200,초읽기,1000000,CNY,china,국내
전국 지력운동회 남자개인전(全国智力運動会プロ男子個人戦),7200,초읽기,500000,CNY,china,국내
중국용성전(中国竜星戦),30,고려시간,200000,CNY,china,국내
사천능투배 중국바둑 세계관군 초대회(四川能投杯中国囲碁世界冠軍招待戦),3600,초읽기,150000,CNY,china,국내
박사소프트웨어배 중국바둑신수쟁패전(博思軟件杯中国囲棋新秀争覇戦リーグ),3600,초읽기,120000,CNY,china,국내
취저우란커배(衢州・爛柯杯中国囲碁冠軍戦),7200,초읽기,500000,CNY,china,국내
취저우 란커배 세계바둑오픈전(衢州爛柯杯ワールド囲碁オープン),7200,초읽기,1800000,CNY,china,세계
양명배 한중일 바둑최강자전(陽明杯日中韓囲碁精鋭招待戦),6000,피셔,400000,CNY,china,세계
춘란배 세계바둑선수권대회(春蘭杯世界囲碁選手権),8700,초읽기,150000,USD,china,세계
KB국민은행 바둑리그(韓国囲碁リーグ),60,피셔,250000000,KRW,korea,국내
북해신혁배 세계바둑오픈전(北海新繹杯世界囲碁オープン),7200,초읽기,1800000,CNY,china,세계
난양배 월드바둑마스터즈(南洋杯世界囲碁マスターズ),7200,피셔,250000,SGD,china-singapore,세계
응씨배 세계바둑선수권(応氏杯世界選手権),7200,전만법,400000,USD,china,세계
몽백합배 세계바둑오픈전(夢百合杯世界囲碁オープン戦),7200,초읽기,1800000,CNY,china,세계
아함동산배 바둑속기공개전(阿含・桐山杯中国囲碁早碁公開戦),30,고려시간,200000,CNY,china,국내
녜웨이핑배 바둑마스터즈(聶衛平杯囲碁マスターズ),7200,초읽기,200000,CNY,china,세계
하세배 한중일 바둑쟁패전(CCTV賀歳杯中日韓新春囲碁争覇戦),30,고려시간,800000,CNY,china,세계
글로비스배 세계바둑(グロービス杯世界囲碁U-20),30,고려시간,3000000,JPY,japan,세계
항저우 아시안게임(アジア競技大会囲碁),3600,초읽기,,,china,세계
중국바둑TV속기전(杯中国囲棋電視快棋戦),3600,초읽기,300000,CNY,china,세계
SG배 한국일보 명인전(名人戦(韓国)),3600,피셔,70000000,KRW,korea,국내
하나은행 바둑슈퍼매치(ハナ銀行囲碁スーパーマッチ),600,피셔,75000000,KRW,korea,국내
한국기원선수권전(韓国棋院選手権戦),5400,초읽기,50000000,KRW,korea,국내
YK건기배(YK建機杯),600,피셔,60000000,KRW,korea,국내
용성전(韓国竜星戦),1800,피셔,30000000,KRW,korea,국내
